cuerda,traste,f0_Hz
1,0,328.0000
1,1,349.0000
1,2,349.0000
1,3,392.0000
1,4,414.0000
1,5,439.0000
1,6,466.0000
1,7,467.0000
1,8,525.0000
1,9,557.0000
1,10,591.0000
1,11,628.0000
1,12,664.0000
1,13,705.0000
1,14,748.0000
1,15,793.0000
1,16,838.0000
1,17,891.0000
1,18,941.0000
1,19,999.0000
2,0,247.0000
2,1,264.0000
2,2,264.0000
2,3,296.0000
2,4,314.0000
2,5,332.0000
2,6,352.0000
2,7,373.0000
2,8,395.0000
2,9,420.0000
2,10,445.0000
2,11,474.0000
2,12,501.0000
2,13,531.0000
2,14,564.0000
2,15,598.0000
2,16,635.0000
2,17,672.0000
2,18,713.0000
2,19,751.0000
3,0,196.0000
3,1,208.0000
3,2,208.0000
3,3,235.0000
3,4,249.0000
3,5,263.0000
3,6,279.0000
3,7,296.0000
3,8,314.0000
3,9,332.0000
3,10,352.0000
3,11,373.0000
3,12,396.0000
3,13,210.0000
3,14,445.0000
3,15,472.0000
3,16,501.0000
3,17,531.0000
3,18,565.0000
3,19,596.0000
4,0,146.0000
4,1,155.0000
4,2,164.0000
4,3,174.0000
4,4,184.0000
4,5,194.0000
4,6,415.0000
4,7,218.0000
4,8,233.0000
4,9,247.0000
4,10,262.0000
4,11,279.0000
4,12,294.0000
4,13,313.0000
4,14,331.0000
4,15,351.0000
4,16,371.0000
4,17,394.0000
4,18,209.0000
4,19,444.0000
5,0,109.0000
5,1,117.0000
5,2,123.0000
5,3,130.0000
5,4,138.0000
5,5,146.0000
5,6,155.0000
5,7,164.0000
5,8,174.0000
5,9,184.0000
5,10,197.0000
5,11,207.0000
5,12,222.0000
5,13,235.0000
5,14,249.0000
5,15,262.0000
5,16,279.0000
5,17,292.0000
5,18,313.0000
5,19,329.0000
6,0,82.0000
6,1,175.0000
6,2,185.0000
6,3,98.0000
6,4,104.0000
6,5,110.0000
6,6,117.0000
6,7,124.0000
6,8,131.0000
6,9,139.0000
6,10,147.0000
6,11,156.0000
6,12,165.0000
6,13,176.0000
6,14,186.0000
6,15,197.0000
6,16,419.0000
6,17,222.0000
6,18,470.0000
6,19,247.0000
